datetime,AccX,AccY,AccZ
2025-11-13 23:04:49.271,-0.021,-1.004,0.072
2025-11-13 23:04:49.271,-0.019,-1.001,0.073
2025-11-13 23:04:49.271,-0.022,-1.002,0.071
2025-11-13 23:04:49.271,-0.02,-1.003,0.073
2025-11-13 23:04:49.271,-0.02,-1.002,0.071
2025-11-13 23:04:49.271,-0.022,-1.003,0.072
2025-11-13 23:04:49.271,-0.02,-1.001,0.073
2025-11-13 23:04:49.271,-0.022,-1.002,0.072
2025-11-13 23:04:49.271,-0.021,-1.003,0.073
2025-11-13 23:04:49.271,-0.02,-1.0,0.072
2025-11-13 23:04:49.271,-0.022,-1.0,0.072
,-0.02,-1.001,0.073
,-0.021,-1.005,0.072
,-0.021,-1.004,0.072
,-0.019,-1.003,0.072
2025-11-13 23:04:49.300,-0.02,-1.001,0.073
2025-11-13 23:04:49.300,-0.021,-1.005,0.072
2025-11-13 23:04:49.300,-0.021,-1.004,0.072
2025-11-13 23:04:49.300,-0.019,-1.003,0.072
,-0.022,-1.002,0.072
,-0.021,-1.003,0.072
,-0.021,-1.004,0.073
,-0.022,-1.005,0.071
,-0.019,-1.002,0.072
,-0.021,-1.003,0.072
,-0.019,-1.003,0.073
,-0.02,-1.004,0.073
,-0.021,-1.003,0.071
,-0.019,-1.0,0.073
,-0.021,-1.001,0.072
,-0.021,-1.001,0.073
2025-11-13 23:04:49.421,-0.022,-1.002,0.072
2025-11-13 23:04:49.421,-0.021,-1.003,0.072
2025-11-13 23:04:49.421,-0.021,-1.004,0.073
2025-11-13 23:04:49.421,-0.022,-1.005,0.071
2025-11-13 23:04:49.421,-0.019,-1.002,0.072
2025-11-13 23:04:49.421,-0.021,-1.003,0.072
2025-11-13 23:04:49.421,-0.019,-1.003,0.073
2025-11-13 23:04:49.421,-0.02,-1.004,0.073
2025-11-13 23:04:49.421,-0.021,-1.003,0.071
2025-11-13 23:04:49.421,-0.019,-1.0,0.073
2025-11-13 23:04:49.421,-0.021,-1.001,0.072
2025-11-13 23:04:49.421,-0.021,-1.001,0.073
,-0.02,-1.0,0.073
,-0.023,-1.002,0.071
,-0.019,-1.001,0.074
,-0.021,-1.001,0.072
2025-11-13 23:04:49.441,-0.02,-1.0,0.073
2025-11-13 23:04:49.441,-0.023,-1.002,0.071
2025-11-13 23:04:49.441,-0.019,-1.001,0.074
2025-11-13 23:04:49.441,-0.021,-1.001,0.072
,-0.021,-1.003,0.072
,-0.02,-1.002,0.073
,-0.022,-1.004,0.071
,-0.02,-1.002,0.074
,-0.02,-1.002,0.072
,-0.022,-1.003,0.073
,-0.019,-1.003,0.073
,-0.022,-1.004,0.07
,-0.02,-1.003,0.072
,-0.021,-1.002,0.072
,-0.022,-1.004,0.071
,-0.021,-1.002,0.071
2025-11-13 23:04:49.580,-0.021,-1.003,0.072
2025-11-13 23:04:49.580,-0.02,-1.002,0.073
2025-11-13 23:04:49.580,-0.022,-1.004,0.071
2025-11-13 23:04:49.580,-0.02,-1.002,0.074
2025-11-13 23:04:49.580,-0.02,-1.002,0.072
2025-11-13 23:04:49.580,-0.022,-1.003,0.073
2025-11-13 23:04:49.580,-0.019,-1.003,0.073
2025-11-13 23:04:49.580,-0.022,-1.004,0.07
2025-11-13 23:04:49.580,-0.02,-1.003,0.072
2025-11-13 23:04:49.580,-0.021,-1.002,0.072
2025-11-13 23:04:49.580,-0.022,-1.004,0.071
2025-11-13 23:04:49.580,-0.021,-1.002,0.071
,-0.022,-1.004,0.072
,-0.02,-1.003,0.073
,-0.022,-1.003,0.071
,-0.02,-1.002,0.072
,-0.021,-1.003,0.072
,-0.023,-1.003,0.072
,-0.019,-1.001,0.073
,-0.023,-1.003,0.072
,-0.021,-1.003,0.073
,-0.02,-1.001,0.072
,-0.022,-1.003,0.072
,-0.02,-1.002,0.073
2025-11-13 23:04:49.733,-0.022,-1.004,0.072
2025-11-13 23:04:49.733,-0.02,-1.003,0.073
2025-11-13 23:04:49.733,-0.022,-1.003,0.071
2025-11-13 23:04:49.733,-0.02,-1.002,0.072
2025-11-13 23:04:49.733,-0.021,-1.003,0.072
2025-11-13 23:04:49.733,-0.023,-1.003,0.072
2025-11-13 23:04:49.733,-0.019,-1.001,0.073
2025-11-13 23:04:49.734,-0.023,-1.003,0.072
2025-11-13 23:04:49.734,-0.021,-1.003,0.073
2025-11-13 23:04:49.734,-0.02,-1.001,0.072
2025-11-13 23:04:49.734,-0.022,-1.003,0.072
2025-11-13 23:04:49.734,-0.02,-1.002,0.073
,-0.021,-1.003,0.072
,-0.021,-1.003,0.072
,-0.019,-1.002,0.072
,-0.023,-1.002,0.069
2025-11-13 23:04:49.745,-0.021,-1.003,0.072
2025-11-13 23:04:49.745,-0.021,-1.003,0.072
2025-11-13 23:04:49.745,-0.019,-1.002,0.072
2025-11-13 23:04:49.745,-0.023,-1.002,0.069
,-0.02,-1.003,0.073
,-0.021,-1.003,0.073
,-0.021,-1.002,0.072
,-0.018,-1.0,0.073
,-0.021,-1.002,0.072
,-0.021,-1.004,0.072
,-0.02,-1.002,0.073
,-0.023,-1.002,0.071
,-0.019,-1.001,0.073
,-0.022,-1.003,0.072
,-0.021,-1.004,0.072
,-0.019,-1.0,0.073
2025-11-13 23:04:49.871,-0.02,-1.003,0.073
2025-11-13 23:04:49.871,-0.021,-1.003,0.073
2025-11-13 23:04:49.871,-0.021,-1.002,0.072
2025-11-13 23:04:49.871,-0.018,-1.0,0.073
2025-11-13 23:04:49.871,-0.021,-1.002,0.072
2025-11-13 23:04:49.871,-0.021,-1.004,0.072
2025-11-13 23:04:49.871,-0.02,-1.002,0.073
2025-11-13 23:04:49.871,-0.023,-1.002,0.071
2025-11-13 23:04:49.871,-0.019,-1.001,0.073
2025-11-13 23:04:49.871,-0.022,-1.003,0.072
2025-11-13 23:04:49.871,-0.021,-1.004,0.072
2025-11-13 23:04:49.871,-0.019,-1.0,0.073
,-0.023,-1.002,0.071
,-0.02,-1.001,0.073
,-0.021,-1.003,0.072
,-0.022,-1.004,0.072
2025-11-13 23:04:49.890,-0.023,-1.002,0.071
2025-11-13 23:04:49.890,-0.02,-1.001,0.073
2025-11-13 23:04:49.890,-0.021,-1.003,0.072
2025-11-13 23:04:49.890,-0.022,-1.004,0.072
,-0.019,-1.003,0.072
,-0.023,-1.002,0.071
,-0.021,-1.001,0.073
,-0.021,-1.001,0.073
,-0.022,-1.004,0.072
,-0.019,-1.001,0.073
,-0.021,-1.002,0.071
,-0.021,-1.003,0.073
,-0.019,-1.003,0.073
,-0.022,-1.005,0.072
,-0.019,-1.002,0.073
,-0.021,-1.002,0.072
2025-11-13 23:04:50.023,-0.019,-1.003,0.072
2025-11-13 23:04:50.023,-0.023,-1.002,0.071
2025-11-13 23:04:50.024,-0.021,-1.001,0.073
2025-11-13 23:04:50.024,-0.021,-1.001,0.073
2025-11-13 23:04:50.024,-0.022,-1.004,0.072
2025-11-13 23:04:50.024,-0.019,-1.001,0.073
2025-11-13 23:04:50.024,-0.021,-1.002,0.071
2025-11-13 23:04:50.024,-0.021,-1.003,0.073
2025-11-13 23:04:50.024,-0.019,-1.003,0.073
2025-11-13 23:04:50.024,-0.022,-1.005,0.072
2025-11-13 23:04:50.024,-0.019,-1.002,0.073
2025-11-13 23:04:50.024,-0.021,-1.002,0.072
,-0.021,-1.003,0.073
,-0.019,-1.002,0.073
,-0.023,-1.002,0.072
,-0.021,-1.002,0.073
2025-11-13 23:04:50.072,-0.021,-1.003,0.073
2025-11-13 23:04:50.072,-0.019,-1.002,0.073
2025-11-13 23:04:50.073,-0.023,-1.002,0.072
2025-11-13 23:04:50.073,-0.021,-1.002,0.073
,-0.019,-1.002,0.073
,-0.023,-1.003,0.072
,-0.019,-1.001,0.073
,-0.021,-1.002,0.072
,-0.021,-1.004,0.071
,-0.019,-1.003,0.073
,-0.022,-1.001,0.07
,-0.019,-1.0,0.074
2025-11-13 23:04:50.184,-0.019,-1.002,0.073
2025-11-13 23:04:50.184,-0.023,-1.003,0.072
2025-11-13 23:04:50.184,-0.019,-1.001,0.073
2025-11-13 23:04:50.184,-0.021,-1.002,0.072
2025-11-13 23:04:50.184,-0.021,-1.004,0.071
2025-11-13 23:04:50.184,-0.019,-1.003,0.073
2025-11-13 23:04:50.184,-0.022,-1.001,0.07
2025-11-13 23:04:50.184,-0.019,-1.0,0.074
